protein_id,keywords,cluster
NC_075036.1_933,ankyrin repeat/DUF2714 domain-containing protein,PC_0
NC_075036.1_934,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_9,ankyrin repeat/mismatch repair protein MutS domain-containing protein,PC_0
NC_075036.1_1164,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1184,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1162,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1131,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_12,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1099,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_15,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_45,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_13,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1113,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1123,ankyrin repeat/plasmid partitioning protein domain-containing protein,PC_0
NC_075036.1_1141,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_24,ankyrin repeat/endonuclease domain-containing protein,PC_0
NC_075036.1_1096,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1110,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1172,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_19,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_67,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1102,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1150,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_936,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_17,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_28,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1143,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1145,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1109,ankyrin repeat/plasmid partitioning domain-containing protein,PC_0
NC_075036.1_1167,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_20,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_77,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_91,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_100,replication factor A/ankyrin repeat domain-containing protein,PC_0
NC_075036.1_21,hypothetical protein,PC_0
NC_075036.1_64,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1107,ankyrin repeat/RegR domain-containing protein,PC_0
NC_075036.1_1122,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_880,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_92,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1138,ankyrin repeat/Prsa domain-containing protein,PC_0
NC_075036.1_1135,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1124,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_79,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1126,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_23,ankyrin repeat/serine/threonine kinase domain-containing protein,PC_0
NC_075036.1_1129,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_50,ankyrin repeat/DNA polymerase domain-containing protein,PC_0
NC_075036.1_1112,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1093,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_49,replication factor A/ankyrin repeat domain-containing protein,PC_0
NC_075036.1_25,ankyrin repeat/YycH N domain-containing protein,PC_0
NC_075036.1_935,ankyrin repeat/DNA polymerase domain-containing protein,PC_0
NC_075036.1_1095,ankyrin repeat/LP domain-containing protein,PC_0
NC_075036.1_72,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1094,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1142,ankyrin repeat/Prsa domain-containing protein,PC_0
NC_075036.1_1158,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_30,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1139,ankyrin repeat/Prsa domain-containing protein,PC_0
NC_075036.1_1117,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1147,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_90,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_36,ankyrin repeat/SpxA domain-containing protein,PC_0
NC_075036.1_96,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_75,ankyrin repeat/DNA polymerase domain-containing protein,PC_0
NC_075036.1_39,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_97,SecA trasnlocase/ankyrin repeat domain-containing protein,PC_0
NC_075036.1_89,SecA trasnlocase/ankyrin repeat domain-containing protein,PC_0
NC_075036.1_93,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_94,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_38,hypothetical protein,PC_0
NC_075036.1_78,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1125,hypothetical protein,PC_0
NC_075036.1_40,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_101,lipoprotein/ankyrin repeat domain-containing protein,PC_0
NC_075036.1_41,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_42,hypothetical protein,PC_0
NC_075036.1_70,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_110,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_44,ankyrin repeat/DNA polymerase domain-containing protein,PC_0
NC_075036.1_46,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_102,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_47,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_51,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_52,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_60,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_65,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_63,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_66,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1106,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1108,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_73,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_68,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_69,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_76,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_71,hypothetical protein,PC_0
NC_075036.1_1103,hypothetical protein,PC_0
NC_075036.1_1136,hypothetical protein,PC_0
NC_075036.1_1137,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_95,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_99,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_104,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_103,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_109,endonuclease/ankyrin repeat domain-containing protein,PC_0
NC_075036.1_107,lipoprotein/ankyrin repeat domain-containing protein,PC_0
NC_075036.1_108,lipoprotein/ankyrin repeat domain-containing protein,PC_0
NC_075036.1_105,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_106,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_111,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_628,HAM1 NTPase,PC_0
NC_075036.1_932,hypothetical protein,PC_0
NC_075036.1_1146,ankyrin repeat/DNA polymerase domain-containing protein,PC_0
NC_075036.1_1187,hypothetical protein,PC_0
NC_075036.1_1104,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1111,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1166,ankyrin repeat domain-containing protein,PC_0
NC_075034.1_916,putative ankyrin repeat protein,PC_1
NC_079139.1_68,putative ankyrin repeat protein,PC_1
NC_075034.1_1059,putative ankyrin repeat protein,PC_1
NC_016072.1_1099,putative ankyrin repeat protein,PC_1
NC_079139.1_69,ankyrin repeat protein,PC_1
NC_075368.1_94,ankyrin repeat protein,PC_1
NC_075037.1_95,repeat protein,PC_1
NC_075037.1_956,repeat protein,PC_1
NC_075037.1_952,repeat protein,PC_1
NC_075367.1_69,ankyrin repeat protein,PC_1
NC_075037.1_955,repeat protein,PC_1
NC_075035.1_951,ankyrin repeat protein,PC_1
NC_020104.1_987,ankyrin repeat protein,PC_1
NC_075037.1_940,repeat protein,PC_1
NC_014649.1_966,hypothetical protein,PC_1
NC_023639.1_858,ankyrin repeat protein,PC_1
NC_075367.1_32,ankyrin repeat protein,PC_1
NC_014649.1_965,putative ankyrin repeat protein,PC_1
NC_075037.1_951,repeat protein,PC_1
NC_079139.1_1290,ankyrin repeat-containing protein,PC_1
NC_075037.1_43,repeat protein,PC_1
NC_075037.1_21,repeat protein,PC_1
NC_075368.1_934,ankyrin repeat protein,PC_1
NC_075037.1_55,repeat protein,PC_1
NC_016072.1_1098,putative ankyrin repeat protein,PC_1
NC_020104.1_59,ankyrin repeat protein,PC_1
NC_075037.1_937,repeat protein,PC_1
NC_020104.1_61,ankyrin repeat protein,PC_1
NC_020104.1_41,ankyrin repeat protein,PC_1
NC_020104.1_498,ankyrin repeat protein,PC_1
NC_075037.1_939,repeat protein,PC_1
NC_014649.1_31,putative ankyrin repeat protein,PC_1
NC_020104.1_969,ankyrin repeat protein,PC_1
NC_075368.1_984,ankyrin repeat protein,PC_1
NC_075037.1_517,repeat protein,PC_1
NC_020104.1_177,ankyrin repeat protein,PC_1
NC_075039.1_1113,ankyrin repeat protein,PC_1
NC_075039.1_1116,ankyrin repeat protein,PC_1
NC_075368.1_200,ankyrin repeat protein,PC_1
NC_075035.1_304,putative ankyrin repeat protein,PC_1
NC_023639.1_79,putative ankyrin repeat protein,PC_1
NC_023639.1_35,putative ankyrin repeat protein,PC_1
NC_014649.1_264,putative ankyrin repeat protein,PC_1
NC_075035.1_260,putative ankyrin repeat protein,PC_1
NC_020104.1_58,ankyrin repeat protein,PC_1
NC_075037.1_941,repeat protein,PC_1
NC_079139.1_251,ankyrin repeat protein,PC_1
NC_075368.1_38,ankyrin repeat protein,PC_1
NC_075368.1_986,ankyrin repeat protein,PC_1
NC_075368.1_985,ankyrin repeat protein,PC_1
NC_020104.1_929,ankyrin repeat protein,PC_1
NC_075368.1_988,ankyrin repeat protein,PC_1
NC_075368.1_987,ankyrin repeat protein,PC_1
NC_020104.1_57,ankyrin repeat protein,PC_1
NC_014649.1_997,putative ankyrin repeat protein,PC_1
NC_075368.1_39,ankyrin repeat protein,PC_1
NC_023639.1_824,putative ankyrin repeat protein,PC_1
NC_079139.1_1295,repeat protein,PC_1
NC_079139.1_269,ankyrin repeat protein,PC_1
NC_079139.1_276,putative ankyrin repeat protein,PC_1
NC_075034.1_199,putative ankyrin repeat protein,PC_1
NC_075367.1_912,ankyrin repeat protein,PC_1
NC_016072.1_217,putative ankyrin repeat protein,PC_1
NC_075368.1_34,ankyrin repeat protein,PC_1
NC_075368.1_481,ankyrin repeat protein,PC_1
NC_075368.1_992,ankyrin repeat protein,PC_1
NC_075037.1_814,repeat protein,PC_1
NC_075037.1_953,repeat protein,PC_1
NC_075037.1_513,repeat protein,PC_1
NC_079139.1_669,ankyrin repeat protein,PC_1
NC_075037.1_799,repeat protein,PC_1
NC_075368.1_85,ankyrin repeat protein,PC_1
NC_075368.1_212,ankyrin repeat protein,PC_1
NC_075037.1_65,repeat protein,PC_1
NC_020104.1_974,ankyrin repeat protein,PC_1
NC_075368.1_972,ankyrin repeat protein,PC_1
NC_020104.1_190,ankyrin repeat protein,PC_1
NC_079139.1_1164,ankyrin repeat-containing protein,PC_1
NC_079139.1_1109,putative repeat protein,PC_1
NC_075037.1_518,repeat protein,PC_1
NC_023639.1_860,putative ankyrin repeat protein,PC_1
NC_014649.1_967,ankyrin repeat protein,PC_1
NC_075037.1_954,repeat protein,PC_1
NC_079139.1_368,putative ankyrin repeat protein,PC_1
NC_075368.1_967,ankyrin repeat protein,PC_1
NC_020104.1_495,ankyrin repeat protein,PC_1
NC_016072.1_951,putative ankyrin repeat protein,PC_1
NC_075368.1_480,ankyrin repeat protein,PC_1
NC_079139.1_392,ankyrin repeat protein,PC_1
NC_075368.1_95,ankyrin repeat protein,PC_1
NC_020104.1_40,ankyrin repeat protein,PC_1
NC_075037.1_957,repeat protein,PC_1
NC_075037.1_519,repeat protein,PC_1
NC_075038.1_922,mg247 protein,PC_1
NC_020104.1_992,ankyrin repeat protein,PC_1
NC_020104.1_930,ankyrin repeat protein,PC_1
NC_079139.1_675,ankyrin repeat-containing protein,PC_1
NC_075368.1_484,ankyrin repeat protein,PC_1
NC_020104.1_17,ankyrin repeat protein,PC_1
NC_023639.1_609,putative ankyrin repeat protein,PC_1
NC_075367.1_171,ankyrin repeat protein,PC_1
NC_020104.1_1021,ankyrin repeat protein,PC_1
NC_075035.1_921,ankyrin repeat-containing protein,PC_1
NC_014649.1_34,hypothetical protein,PC_1
NC_075368.1_486,ankyrin repeat protein,PC_1
NC_020104.1_43,ankyrin repeat protein,PC_1
NC_016072.1_82,putative ankyrin repeat protein,PC_1
NC_075034.1_150,hypothetical protein,PC_1
NC_075367.1_957,ankyrin repeat protein,PC_1
NC_016072.1_169,putative ankyrin repeat protein,PC_1
NC_075037.1_802,repeat protein,PC_1
NC_020104.1_187,ankyrin repeat protein,PC_1
NC_075368.1_210,ankyrin repeat protein,PC_1
NC_075368.1_40,ankyrin repeat protein,PC_1
NC_020104.1_16,ankyrin repeat protein,PC_1
NC_075367.1_75,ankyrin repeat protein,PC_1
NC_020104.1_44,repeat protein,PC_1
NC_075037.1_515,repeat protein,PC_1
NC_075034.1_64,putative ankyrin repeat protein,PC_1
NC_020104.1_497,hypothetical protein,PC_1
NC_023639.1_891,putative ankyrin repeat protein,PC_1
NC_014649.1_933,putative ankyrin repeat protein,PC_1
NC_075037.1_516,repeat protein,PC_1
NC_075368.1_981,ankyrin repeat protein,PC_1
NC_075368.1_483,hypothetical protein,PC_1
NC_075368.1_485,hypothetical protein,PC_1
NC_023639.1_611,putative ankyrin repeat protein,PC_1
NC_020104.1_496,repeat protein,PC_1
NC_020104.1_95,ankyrin repeat protein,PC_1
NC_023639.1_859,putative ankyrin repeat protein,PC_1
NC_020104.1_991,repeat protein,PC_1
NC_020104.1_993,ankyrin repeat protein,PC_1
NC_079139.1_793,ribonucleoside-diphosphate reductase large subunit,PC_2
NC_075035.1_355,ribonucleoside-diphosphate reductase large subunit,PC_2
NC_014649.1_360,ribonucleoside-diphosphate reductase large subunit,PC_2
NC_023639.1_132,ribonucleoside-diphosphate reductase large subunit,PC_2
NC_020104.1_588,ribonucleotide reductase,PC_2
NC_075368.1_576,ribonucleoside-diphosphate reductase large subunit,PC_2
NC_075037.1_415,reductase large subunit,PC_2
NC_016072.1_615,ribonucleotide reductase,PC_2
NC_075367.1_514,ribonucleoside-diphosphate reductase large subunit,PC_2
NC_075039.1_441,ribonucleoside-diphosphate reductase large subunit,PC_2
NC_075034.1_593,putative ribonucleotide reductase large subunit,PC_2
NC_075038.1_415,putative ribonucleoside di phosphate reductase alpha subunit,PC_2
NC_003389.1_44,ribonucleotide reductase,PC_2
NC_027213.1_70,ribonucleotide reductase,PC_2
NC_031033.1_73,ribonucleotide reductase,PC_2
NC_003663.2_76,ribonucleotide reductase,PC_2
NC_077077.1_153,ribonucleoside-diphosphate reductase large subunit,PC_2
NC_031038.1_73,ribonucleotide reductase,PC_2
NC_055230.1_77,ribonucleotide reductase,PC_2
NC_077067.1_381,ribonucleoside diphosphate reductase large subunit,PC_2
NC_004105.1_84,ribonucleotide reductase,PC_2
NC_075036.1_909,ribonucleoside-diphosphate reductase large subunit,PC_2
NC_055231.1_72,ribonucleotide reductase,PC_2
NC_003391.1_77,ribonucleotide reductase,PC_2
NC_006998.1_68,ribonucleotide reductase large subunit,PC_2
NC_024697.1_117,ribonucleotide reductase,PC_2
NC_028110.1_62,ribonucleotide reductase,PC_2
NC_009898.1_386,ribonucleotide reductase large subunit,PC_2
NC_075546.1_115,ribonucleotide reductase,PC_2
NC_028094.1_230,ribonucleotide reductase,PC_2
NC_033775.1_258,ribonucleotide reductase,PC_2
NC_029692.1_231,ribonucleotide reductase,PC_2
NC_077221.1_387,ribonucleoside-diphosphate reductase large subunit,PC_2
NC_063383.1_65,Ribonucleoside-diphosphate reductase (2),PC_2
NC_003310.1_72,Ribonucleoside-diphosphate reductase (2),PC_2
NC_008291.1_78,ribonucleotide reductase,PC_2
NC_001611.1_64,ribonucleotide reductase,PC_2
NC_075036.1_907,hypothetical protein,PC_2
NC_035468.1_70,ribonucleotide reductase,PC_2
NC_035469.1_67,ribonucleotide reductase,PC_2
NC_035460.1_52,ribonucleotide reductase,PC_2
NC_075136.1_432,ribonucleoside-diphosphate reductase subunit alpha,PC_2
NC_028112.1_106,ribonucleotide reductase,PC_2
NC_020852.1_129,ribonucleotide reductase,PC_2
NC_028108.1_97,ribonucleotide reductase,PC_2
NC_028091.1_140,ribonucleotide reductase,PC_2
NC_028092.1_142,ribonucleotide reductase,PC_2
NC_014789.1_134,ribonucleotide reductase,PC_2
NC_028108.1_30,ribonucleotide reductase,PC_2
NC_013288.1_139,ribonucleotide reductase,PC_2
NC_028093.1_138,ribonucleotide reductase,PC_2
NC_014766.1_148,ribonucleotide reductase,PC_2
NC_021312.1_131,ribonucleotide reductase,PC_2
NC_007346.1_434,ribonucleotide reductase,PC_2
NC_014767.1_144,ribonucleotide reductase,PC_2
NC_076102.1_36,putative ribonucleoside diphosphate reductase large subunit,PC_2
NC_015960.1_50,ribonucleotide reductase,PC_2
NC_014765.1_141,ribonucleotide reductase,PC_2
NC_043129.1_64,ribonucleotide reductase,PC_2
NC_020864.1_101,ribonucleotide reductase,PC_2
NC_066642.1_94,HSPV074a,PC_2
NC_037057.1_106,ribonucleotide reductase,PC_2
NC_066642.1_95,HSPV074b,PC_2
NC_043254.1_21,ribonucleotide reductase,PC_2
NC_066642.1_96,HSPV074c,PC_2
NC_066642.1_97,HSPV074d,PC_2
NC_011183.1_90,ribonucleotide reductase,PC_2
NC_002687.1_195,ribonucleotide reductase,PC_2
NC_032001.1_336,ribonucleotide reductase large subunit,PC_2
NC_000852.5_346,ribonucleotide reductase large subunit,PC_2
NC_044937.1_333,ribonucleotide reductase large subunit,PC_2
NC_008603.1_324,ribonucleotide reductase large subunit,PC_2
NC_008724.1_42,ribonucleotide reductase large subunit,PC_2
NC_009899.1_359,ribonucleotide reductase large subunit,PC_2
NC_043235.1_368,ribonucleotide reductase large subunit,PC_2
NC_044941.1_49,ribonucleotide reductase large subunit,PC_2
NC_044956.1_51,ribonucleotide reductase large subunit,PC_2
NC_044947.1_53,ribonucleotide reductase large subunit,PC_2
NC_044953.1_56,ribonucleotide reductase large subunit,PC_2
NC_044950.1_55,ribonucleotide reductase large subunit,PC_2
NC_044952.1_52,ribonucleotide reductase large subunit,PC_2
NC_044948.1_57,ribonucleotide reductase large subunit,PC_2
NC_044949.1_52,ribonucleotide reductase large subunit,PC_2
NC_044951.1_49,ribonucleotide reductase large subunit,PC_2
NC_044944.1_59,ribonucleotide reductase large subunit,PC_2
NC_044945.1_59,ribonucleotide reductase large subunit,PC_2
NC_044946.1_55,ribonucleotide reductase large subunit,PC_2
NC_044954.1_55,ribonucleotide reductase large subunit,PC_2
NC_043223.1_11,ribonucleotide reductase,PC_2
NC_025412.1_200,ribonucleotide reductase,PC_2
NC_013756.1_199,ribonucleotide reductase,PC_2
NC_030230.1_238,ribonucleotide reductase,PC_2
NC_015326.1_195,ribonucleotide reductase,PC_2
NC_038511.1_114,ribonucleotide reductase large subunit,PC_2
NC_031465.1_147,ribonucleotide reductase,PC_2
NC_036594.1_1293,ribonucleotide reductase large subunit,PC_2
NC_031465.1_149,ribonucleotide reductase,PC_2
NC_031465.1_148,hypothetical protein,PC_2
NC_014637.1_470,ribonucleotide reductase,PC_2
NC_007346.1_435,hypothetical protein,PC_2
NC_020104.1_310,intein-containing DNA-directed RNA polymerase subunit 2,PC_3
NC_075038.1_910,intein-containing dna-directed rna polymerase subunit 2,PC_3
NC_079139.1_256,hypothetical protein,PC_3
NC_075034.1_338,DNA-directed RNA polymerase subunit 2,PC_3
NC_016072.1_355,RNA polymerase beta subunit,PC_3
NC_079139.1_521,DNA-directed RNA polymerase subunit 2,PC_3
NC_075367.1_771,DNA-directed RNA polymerase subunit 2,PC_3
NC_075037.1_689,DNA-directed RNA polymerase subunit 2,PC_3
NC_075368.1_319,DNA-directed RNA polymerase subunit 2,PC_3
NC_075035.1_279,DNA-directed RNA polymerase subunit 2,PC_3
NC_079139.1_518,DNA-directed RNA polymerase subunit 2,PC_3
NC_075368.1_317,DNA-directed RNA polymerase subunit 2,PC_3
NC_014649.1_280,DNA directed RNA polymerase subunit 2,PC_3
NC_075034.1_336,hypothetical protein,PC_3
NC_075367.1_774,intein-containing DNA-directed RNA polymerase subunit 2,PC_3
NC_075037.1_691,intein-containing DNA-directed RNA polymerase subunit 2,PC_3
NC_020104.1_307,intein-containing DNA-directed RNA polymerase subunit 2,PC_3
NC_075039.1_947,intein-containing DNA-directed RNA polymerase subunit 2,PC_3
NC_014637.1_235,putative DNA-directed RNA polymerase subunit Rpb2 precursor,PC_3
NC_077067.1_619,DNA-directed RNA polymerase subunit 2,PC_3
NC_077221.1_803,DNA-directed RNA polymerase II subunit RPB2,PC_3
NC_075546.1_203,DNA-directed RNA polymerase II subunit RPB2,PC_3
NC_011335.1_86,hypothetical protein,PC_3
NC_077077.1_100,hypothetical protein,PC_3
NC_028094.1_305,"Intein containing DNA-directed RNA polymerase II, subunit RPB2",PC_3
NC_028094.1_293,"DNA-directed RNA polymerase II, subunit RPB2",PC_3
NC_055165.1_75,DNA-directed RNA polymerase II second largest subunit,PC_3
NC_040612.1_83,083L,PC_3
NC_014649.1_282,DNA-directed RNA polymerase subunit 2,PC_3
NC_023639.1_53,RNA polymerase beta subunit,PC_3
NC_075036.1_328,intein-containing DNA-dependent RNA polymerase 2 subunit Rpb2/subunit Rpb4 precursor,PC_3
NC_020104.1_309,intein-containing DNA-directed RNA polymerase subunit 2,PC_3
NC_021312.1_231,DNA-directed RNA polymerase II subunit RPB2,PC_3
NC_075136.1_584,DNA-directed RNA polymerase II subunit Rpb2,PC_3
NC_023848.1_23,DNA-directed RNA polymerase II subunit RPB2,PC_3
NC_007346.1_441,putative DNA-directed RNA polymerase II subunit,PC_3
NC_021312.1_211,DNA-directed RNA polymerase II subunit RPB2,PC_3
NC_024697.1_384,DNA-directed RNA polymerase II subunit RPB2,PC_3
NC_079139.1_522,DNA-directed RNA polymerase subunit 2,PC_3
NC_075035.1_280,DNA-directed RNA polymerase subunit 2,PC_3
NC_014649.1_284,DNA-directed RNA polymerase subunit 2,PC_3
NC_020104.1_311,intein-containing DNA-directed RNA polymerase subunit 2,PC_3
NC_075368.1_320,intein-containing DNA-directed RNA polymerase subunit 2,PC_3
NC_075367.1_768,intein-containing DNA-directed RNA polymerase subunit 2,PC_3
NC_075034.1_339,intein-containing DNA-directed RNA polymerase subunit 2,PC_3
NC_075037.1_688,intein-containing DNA-directed RNA polymerase subunit 2,PC_3
NC_075038.1_909,intein-containing DNA-directed RNA polymerase subunit 2,PC_3
NC_075036.1_330,intein-containing DNA-dependent RNA polymerase 2 subunit Rpb2/subunit Rpb4 precursor,PC_3
NC_077221.1_427,"DNA-directed RNA polymerase II, subunit RPB2",PC_3
NC_075546.1_221,DNA-directed RNA polymerase II subunit RPB2,PC_3
NC_079139.1_524,DNA-directed RNA polymerase subunit 2,PC_3
NC_075035.1_282,DNA directed RNA polymerase subunit 2,PC_3
NC_023639.1_55,DNA directed RNA polymerase subunit 2,PC_3
NC_016072.1_357,DNA-directed RNA polymerase subunit 2,PC_3
NC_075367.1_767,DNA-directed RNA polymerase subunit 2,PC_3
NC_075034.1_341,DNA-directed RNA polymerase subunit 2,PC_3
NC_020104.1_313,intein-containing DNA-directed RNA polymerase subunit 2,PC_3
NC_075037.1_686,DNA-directed RNA polymerase subunit 2,PC_3
NC_075368.1_322,DNA-directed RNA polymerase subunit 2,PC_3
NC_079139.1_525,intein-containing DNA-directed RNA polymerase subunit 2,PC_3
NC_008361.1_50,128.1 kDa DNA-directed RNA polymerase II subunit 2,PC_3
NC_023848.1_22,DNA-directed RNA polymerase subunit B'',PC_3
NC_033423.1_49,RNA polymerase beta subunit,PC_3
NC_055603.1_13,RNA polymerase beta subunit,PC_3
NC_024451.1_215,DNA-directed RNA polymerase II subunit RPB2,PC_3
NC_024697.1_231,putative RNA polymerase beta subunit,PC_3
NC_015780.1_114,hypothetical protein,PC_3
NC_023611.1_182,DNA-directed RNA polymerase II subunit RPB2,PC_3
NC_023613.1_192,DNA-directed RNA polymerase II subunit RPB2,PC_3
NC_023615.1_183,DNA-directed RNA polymerase II subunit RPB2,PC_3
NC_021901.1_176,DNA-directed RNA polymerase II subunit RPB2,PC_3
NC_008187.1_9,hypothetical protein,PC_3
NC_003038.1_195,428L,PC_3
NC_006549.1_61,DNA-directed RNA polymerase II second largest subunit,PC_3
NC_075538.1_33,DNA-dependent RNA polymerase II second largest subunit,PC_3
NC_030842.1_36,DNA-dependent RNA polymerase II second largest subunit,PC_3
NC_005946.1_52,"DNA-dependent RNA polymerase II second largest subunit domain 6,7,3,2 beta subunit",PC_3
NC_005832.1_37,DNA dependent RNA polymerase II,PC_3
NC_030394.2_40,DNA-dependent RNA polymerase II second largest subunit,PC_3
NC_005902.1_17,RNA polymerase beta subunit,PC_3
NC_001824.1_13,DNA-directed RNA polymerase subunit 2,PC_3
NC_027778.1_126,ORF_122L,PC_3
NC_003494.1_31,putative DNA-directed RNA polymerase II,PC_3
